Time	Bottom	Top
0		0			0
0.03	4.30E-07	-1.60E-07
0.06	8.60E-07	-3.21E-07
0.09	1.29E-06	-4.81E-07
0.15	2.15E-06	-8.00E-07
0.27	3.86E-06	-1.44E-06
0.51	7.30E-06	-2.71E-06
0.99	1.42E-05	-5.26E-06
1.95	2.78E-05	-1.03E-05
3.87	5.51E-05	-2.03E-05
7.71	0.000108435	-3.95E-05
13.47	0.000184607	-6.63E-05
22.11	0.000292896	-0.000103712
33.4677	0.000427026	-0.000148836
44.8253	0.000552778	-0.000190148
56.183	0.000668573	-0.000227219
67.5406	0.000778909	-0.000261803
78.8983	0.000884749	-0.000294326
95.1251	0.001026	-0.000336477
111.352	0.00115985	-0.000375355
127.579	0.00128839	-0.000411803
150.609	0.00146153	-0.000459376
173.64	0.00162561	-0.000503053
196.67	0.00178142	-0.000543228
229.04	0.00198913	-0.000594866
261.411	0.00218689	-0.000642373
293.781	0.00237473	-0.000685954
332.783	0.00258804	-0.00073339
371.785	0.00279137	-0.000776996
410.787	0.00298518	-0.000817044
449.789	0.00316964	-0.000853698
497.064	0.00338121	-0.000893802
544.34	0.00358379	-0.000930762
591.615	0.00377682	-0.000964381
649.947	0.00400138	-0.00100111
708.278	0.00421408	-0.00103379
766.61	0.00441666	-0.00106298
841.564	0.0046612	-0.00109509
916.519	0.00489085	-0.00112215
991.473	0.00510727	-0.00114467
1088.75	0.00536894	-0.00116728
1186.03	0.00561312	-0.00118385
1283.31	0.00584118	-0.00119485
1408.3	0.00611296	-0.0012014
1533.29	0.00636486	-0.00120089
1658.28	0.00659864	-0.00119395
1819.96	0.00687383	-0.00117532
1981.65	0.00712431	-0.00114799
2143.34	0.00735255	-0.00111287
2358.08	0.00762164	-0.00105436
2572.83	0.00786164	-0.000985764
2787.58	0.0080766	-0.000908511
3082.78	0.0083329	-0.000789019
3377.99	0.00855631	-0.000658812
3673.2	0.00875348	-0.000521176
4091.92	0.00899325	-0.000315547
4510.64	0.00920049	-0.00010126
4929.36	0.0093817	0.000119735
5502.67	0.00959501	0.000428995
6075.97	0.00978188	0.000741443
6649.28	0.00994858	0.0010546
7200	0.0100937	0.00135489

