Time	Bottom	Top
0		0			0
0.03	3.31519E-07	-1.08412E-07
0.06	6.62718E-07	-2.16702E-07
0.09	9.936E-07	-3.24871E-07
0.15	1.65541E-06	-5.41154E-07
0.27	2.97921E-06	-9.73501E-07
0.51	5.62746E-06	-1.83733E-06
0.99	1.09259E-05	-3.56152E-06
1.95	2.15268E-05	-6.99611E-06
3.87	4.27112E-05	-1.38079E-05
7.71	8.42835E-05	-2.70119E-05
13.47	0.000143856	-4.56487E-05
22.11	0.000228794	-7.17531E-05
32.5682	0.000326109	-0.00010111
43.0263	0.000418095	-0.000128395
53.4845	0.000503559	-0.000153291
63.9427	0.000584957	-0.00017664
77.9065	0.000688892	-0.000205932
91.8704	0.000786479	-0.000232903
105.834	0.000879236	-0.00025808
125.71	0.00100558	-0.000291673
145.587	0.00112609	-0.000323064
165.463	0.00124096	-0.000352389
193.526	0.00139436	-0.000390562
221.59	0.00153983	-0.000425885
249.653	0.00167896	-0.000458952
285.309	0.00184672	-0.00049783
320.965	0.0020049	-0.000533487
356.621	0.00215587	-0.00056674
392.277	0.00230023	-0.000597844
427.933	0.00243805	-0.000626881
470.944	0.00259534	-0.000659111
513.956	0.00274499	-0.000689005
556.967	0.00288938	-0.000717334
599.979	0.00302686	-0.000743592
655.234	0.00319391	-0.000774467
710.488	0.00335289	-0.000802986
765.743	0.00350498	-0.000829525
836.128	0.00368746	-0.000860082
906.512	0.00386058	-0.000887968
976.897	0.00402512	-0.000913404
1067.69	0.004226	-0.000942957
1158.49	0.00441699	-0.000969685
1249.28	0.0045994	-0.000993934
1365.72	0.00482284	-0.00102191
1482.15	0.00503706	-0.00104717
1598.58	0.00524213	-0.00106975
1745.5	0.00548866	-0.0010946
1892.41	0.00572396	-0.00111612
2039.33	0.00594839	-0.00113444
2221.76	0.00621213	-0.00115274
2404.19	0.0064625	-0.00116706
2586.62	0.0066995	-0.00117744
2812.57	0.00697384	-0.00118469
3038.52	0.00722997	-0.00118669
3264.47	0.00746905	-0.0011838
3547.37	0.00774418	-0.00117324
3830.27	0.00799698	-0.00115636
4113.18	0.00822956	-0.00113376
4477.13	0.00849935	-0.00109635
4841.08	0.00874289	-0.00105158
5205.03	0.00896326	-0.00100033
5688.39	0.00922173	-0.000922664
6171.74	0.00945071	-0.000836817
6655.1	0.00965455	-0.000744063
7200	0.0098578	-0.000632359
