Time	Bottom	Top
0	0	0
0.03	2.78444E-07	-8.80496E-08
0.06	5.56821E-07	-1.76064E-07
0.09	8.35133E-07	-2.64044E-07
0.15	1.39258E-06	-4.40209E-07
0.27	2.51065E-06	-7.93329E-07
0.51	4.75867E-06	-1.50248E-06
0.99	9.29626E-06	-2.93069E-06
1.95	1.85006E-05	-5.8161E-06
3.87	3.72261E-05	-1.16463E-05
7.71	0.000074652	-2.31723E-05
13.47	0.00012891	-3.96608E-05
21.8132	0.000204143	-6.21755E-05
30.1564	0.000275737	-8.33056E-05
38.4996	0.000344267	-0.000103284
46.8428	0.000409639	-0.000122116
55.186	0.00047147	-0.000139707
67.3383	0.000558087	-0.000164014
79.4905	0.000640615	-0.000186851
91.6427	0.000719105	-0.000208269
109.289	0.000827391	-0.000237319
126.936	0.000930818	-0.00026463
144.583	0.00102992	-0.000290413
169.595	0.00116307	-0.000324407
194.607	0.00128852	-0.000355807
219.619	0.00140777	-0.00038513
249.976	0.00154531	-0.000418314
280.333	0.00167527	-0.000449053
310.691	0.00179826	-0.000477565
341.048	0.001915	-0.000504109
371.405	0.00202615	-0.000528927
408.236	0.00215376	-0.000556815
445.067	0.00227454	-0.000582615
481.898	0.00238886	-0.000606469
526.996	0.00252206	-0.00063363
572.094	0.00264872	-0.000658854
617.192	0.00276868	-0.000682092
675.199	0.00291409	-0.000709374
733.206	0.00305126	-0.000734265
791.213	0.00318212	-0.000757323
869.586	0.00334922	-0.000785635
947.96	0.00350712	-0.000811275
1026.33	0.0036579	-0.000834833
1126.6	0.00384221	-0.000862366
1226.86	0.00401898	-0.000887627
1327.13	0.0041881	-0.000910623
1454.82	0.00439462	-0.000937248
1582.52	0.00459261	-0.000961333
1710.21	0.0047828	-0.000983098
1871.67	0.00501339	-0.00100763
2033.14	0.00523485	-0.00102939
2194.6	0.0054486	-0.00104878
2396.95	0.00570448	-0.00106944
2599.31	0.00594899	-0.0010867
2801.66	0.00618318	-0.00110089
3051.37	0.0064572	-0.00111396
3301.07	0.00671758	-0.00112304
3550.78	0.00696501	-0.00112836
3857.79	0.00725102	-0.00112973
4164.8	0.00751996	-0.00112632
4471.81	0.0077727	-0.00111848
4849.8	0.00806119	-0.00110275
5227.79	0.00832852	-0.00108147
5605.79	0.00857617	-0.00105512
6077.84	0.00885789	-0.00101518
6549.89	0.00911452	-0.000968936
7021.94	0.00934846	-0.00091706
7200	0.00943332	-0.000896713
